# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_SPANISH	CONCEPT_FRENCH	CONCEPT_PORTUGUESE	SEMANTIC_FIELD	VALUE_IN_SOURCE	VALUE	FORM1	FORM2	FORM	SEGMENTS	SOURCE	COGID	PROBLEMATIC
4683	Baniwa	cut, make cuts on the surface of obj			cortar		<-tákhaa> (cortar) {Ramirez 2001}, <-matáka> (cortar) {Ramirez 2001}, <-aakaapíta> (cortar) {Ramirez 2001}	-tákhaa			-tákhaa	� t a � k h a a	Ramirez 2001	1232	
4684	Baniwa	cut, make cuts on the surface of obj			cortar		<-tákhaa> (cortar) {Ramirez 2001}, <-matáka> (cortar) {Ramirez 2001}, <-aakaapíta> (cortar) {Ramirez 2001}	-matáka			-matáka	� m a t a � k a	Ramirez 2001	1237	
4685	Baniwa	cut, make cuts on the surface of obj			cortar		<-tákhaa> (cortar) {Ramirez 2001}, <-matáka> (cortar) {Ramirez 2001}, <-aakaapíta> (cortar) {Ramirez 2001}	-aakaapíta			-aakaapíta	� a a k a a p i � t a	Ramirez 2001	1244	
4686	Baniwa	cut, make cuts on the surface of obj			cortar		<-tákhaa> (cortar) {Ramirez 2001}, <-matáka> (cortar) {Ramirez 2001}, <-aakaapíta> (cortar) {Ramirez 2001}	-tákhaa			-tákhaa	� t a � k h a a	Ramirez 2001	1232	
4687	Baniwa	cut, make cuts on the surface of obj			cortar		<-tákhaa> (cortar) {Ramirez 2001}, <-matáka> (cortar) {Ramirez 2001}, <-aakaapíta> (cortar) {Ramirez 2001}	-matáka			-matáka	� m a t a � k a	Ramirez 2001	1237	
4688	Baniwa	cut, make cuts on the surface of obj			cortar		<-tákhaa> (cortar) {Ramirez 2001}, <-matáka> (cortar) {Ramirez 2001}, <-aakaapíta> (cortar) {Ramirez 2001}	-aakaapíta			-aakaapíta	� a a k a a p i � t a	Ramirez 2001	1244	
#
1141	Achagua	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$kaaleri$ <kaaleri> (trozar) {Melendez 2011}	kaaleri	kaaleri		kaaleri	k aa l e r i	Melendez 2011	1250	
1142	Baré	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$yakara$ (cortar) {Oliveira 93}		yakara		yakara	y a k a r a	Oliveira 93	1252	
1143	Piapoco	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$nutukúaka$ (partir) {Klumpp 1995}		nutukúaka		nutukúaka	n u t u k ú a k a	Klumpp 1995	1253	
1144	Resigaro	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$tuu-khú$ (cortar coisas grandes) {Epps}, $ʔ-kʰú$ (cortar coisas pequenas) {Epps}		tuu-khú		tuu-khú	t u u � k h u �	Epps	1251	
1145	Resigaro	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$tuu-khú$ (cortar coisas grandes) {Epps}, $ʔ-kʰú$ (cortar coisas pequenas) {Epps}		ʔ-kʰú		ʔ-kʰú	ʔ � k � u �	Epps	1259	
1146	Tariana	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$di-kadúwa$ (partir) {Aikhenvald 2001}		di-kadúwa		di-kadúwa	di- k a d ú w a	Aikhenvald 2001	1255	
1147	Warekena	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$baʃaka$ (cortar) {Aikhenvald 2012}, $teɾuka$ (cortar) {Aikhenvald 2012}		baʃaka		baʃaka	b a ʃ a k a	Aikhenvald 2012	1256	
1148	Warekena	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$baʃaka$ (cortar) {Aikhenvald 2012}, $teɾuka$ (cortar) {Aikhenvald 2012}		teɾuka		teɾuka	t e ɾ u k a	Aikhenvald 2012	1260	
1149	Yukuna	cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$mataʔakahe$ (cortar) {Epps}		mataʔakahe		mataʔakahe	m ataʔakahe	Epps	1256	
4689	Baniwa	cut, of hard object, into many pieces of similar size			cortar, partir		<-tákhaa> (cortar, partir) {Ramirez 2001}, <-matáka> (cortar, partir) {Ramirez 2001}, <-aakaapíta> (cortar, partir) {Ramirez 2001}, <-keéta> (cortar, partir) {Ramirez 2001}	-tákhaa			-tákhaa	� t a � k h a a	Ramirez 2001	1251	
4690	Baniwa	cut, of hard object, into many pieces of similar size			cortar, partir		<-tákhaa> (cortar, partir) {Ramirez 2001}, <-matáka> (cortar, partir) {Ramirez 2001}, <-aakaapíta> (cortar, partir) {Ramirez 2001}, <-keéta> (cortar, partir) {Ramirez 2001}	-matáka			-matáka	� m a t a � k a	Ramirez 2001	1256	
4691	Baniwa	cut, of hard object, into many pieces of similar size			cortar, partir		<-tákhaa> (cortar, partir) {Ramirez 2001}, <-matáka> (cortar, partir) {Ramirez 2001}, <-aakaapíta> (cortar, partir) {Ramirez 2001}, <-keéta> (cortar, partir) {Ramirez 2001}	-aakaapíta			-aakaapíta	� a a k a a p i � t a	Ramirez 2001	1261	
4692	Baniwa	cut, of hard object, into many pieces of similar size			cortar, partir		<-tákhaa> (cortar, partir) {Ramirez 2001}, <-matáka> (cortar, partir) {Ramirez 2001}, <-aakaapíta> (cortar, partir) {Ramirez 2001}, <-keéta> (cortar, partir) {Ramirez 2001}	-keéta			-keéta	� k e e � t a	Ramirez 2001	1262	
#
1150	Baré	dance	bailar	danse	dançar	verb	$wayadawa$ (dançar) {Oliveira 93}		wayadawa		wayadawa	w a y a d a w a	Oliveira 93	1263	
1151	Piapoco	dance	bailar	danse	dançar	verb	<iɺabà:ka> (dançar) {Klumpp 1995}	iɺabà:ka			iɺabà:ka	i ɺ a b à: k a	Klumpp 1995	1264	
1152	Tariana	dance	bailar	danse	dançar	verb	$ɾápa$ $ɾápa$ (dançar) {Epps}		ɾápa		ɾápa	ɾ á p a	Epps	1264	
1153	Warekena	dance	bailar	danse	dançar	verb	$tama$ (dançar) {Aikhenvald 2012}		tama		tama	t a m a	Aikhenvald 2012	1266	
1154	Yukuna	dance	bailar	danse	dançar	verb	$aɾápaʔakahe$ (dançar) {Epps}		aɾápaʔakahe		aɾápaʔakahe	a ɾ á p aʔakahe	Epps	1264	
#
1155	Achagua	daughter	hija	fille	filha	kinship	$kirakua$ <kírakua> (bebé, criatura) {Melendez 2011}	kírakua	kirakua		kirakua	k i r a k u a	Melendez 2011	1267	
1156	Piapoco	daughter	hija	fille	filha	kinship	$nu-ídu$ (filha) {Klumpp 1995}		nu-ídu		nu-ídu	n u � i � d u	Klumpp 1995	1268	
1157	Resigaro	daughter	hija	fille	filha	kinship	$aáme$ (filha) {Allin 1979}, $žaání$ (filha) {Allin 1979}		aáme		aáme	a á m e	Allin 1979	1270	
1158	Resigaro	daughter	hija	fille	filha	kinship	$aáme$ (filha) {Allin 1979}, $žaání$ (filha) {Allin 1979}		žaání		žaání	ž a á n í	Allin 1979	1273	
1159	Tariana	daughter	hija	fille	filha	kinship	$dí:tu$ (filha) {Aikhenvald 2001}		dí:tu		dí:tu	d í: t u	Aikhenvald 2001	1268	
1160	Warekena	daughter	hija	fille	filha	kinship	$nutani neyawa$ (filha) {Aikhenvald 2012}		nutani neyawa		nutani neyawa	n u t a n i � n e y a w a	Aikhenvald 2012	1272	
4693	Baniwa	daughter			filha		<-íito> (filha) {Ramirez 2001}	-íito			-íito	� i � i t o	Ramirez 2001	1268	
#
1161	Achagua	daughter-in-law	nuera	belle-fille	nora	kinship	$niruʃi$ <niruʃi> (nuera) {Melendez 2011}	niruʃi	niruʃi		niruʃi	n i r u ʃ i	Melendez 2011	1274	
1162	Piapoco	daughter-in-law	nuera	belle-fille	nora	kinship	$nuinìɾu$ (nuera) {Klumpp 1995}		nuinìɾu		nuinìɾu	n u i n ì ɾ u	Klumpp 1995	1274	
1163	Resigaro	daughter-in-law	nuera	belle-fille	nora	kinship	$-iʔgíinó$ (nora) {Allin 1979}		-iʔgíinó		-iʔgíinó	� i ʔ g i � i n o �	Allin 1979	1275	
1164	Yukuna	daughter-in-law	nuera	belle-fille	nora	kinship	$iʔiɾinuhi$ (nora) {Schauer 2005}		iʔiɾinuhi		iʔiɾinuhi	i ʔ i ɾ i n u h i	Schauer 2005	1275	
4694	Baniwa	daughter-in-law			nora		<-iríino> (nora) {Ramirez 2001}	-iríino			-iríino	� i r i � i n o	Ramirez 2001	1275	
#
1165	Resigaro	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$neé$ (ali) {Allin 1979}, $véethé$ (ali) {Allin 1979}		neé		neé	n e é	Allin 1979	1277	
1166	Resigaro	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$neé$ (ali) {Allin 1979}, $véethé$ (ali) {Allin 1979}		véethé		véethé	v é e th é	Allin 1979	1282	
1167	Tariana	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$haliá$ (amanhecer) {Aikhenvald 2001}, $hámu káwhika$ (amanhecer com sol) {Aikhenvald 2001}		haliá		haliá	h a l i á	Aikhenvald 2001	1276	
1168	Tariana	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$haliá$ (amanhecer) {Aikhenvald 2001}, $hámu káwhika$ (amanhecer com sol) {Aikhenvald 2001}		hámu káwhika		hámu káwhika	h a � m u � k a � w h i k a	Aikhenvald 2001	1283	
1169	Warekena	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$aɾita$ (amarrar) {Aikhenvald 2012}, $daɾuna$ (amarrar) {Aikhenvald 2012}, $mebutata$ (amarrar) {Aikhenvald 2012}		aɾita		aɾita	a ɾ i t a	Aikhenvald 2012	1279	
1170	Warekena	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$aɾita$ (amarrar) {Aikhenvald 2012}, $daɾuna$ (amarrar) {Aikhenvald 2012}, $mebutata$ (amarrar) {Aikhenvald 2012}		daɾuna		daɾuna	d a ɾ u n a	Aikhenvald 2012	1279	
1171	Warekena	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$aɾita$ (amarrar) {Aikhenvald 2012}, $daɾuna$ (amarrar) {Aikhenvald 2012}, $mebutata$ (amarrar) {Aikhenvald 2012}		mebutata		mebutata	m e b u t a t a	Aikhenvald 2012	1280	
1172	Yukuna	dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv	$meʔetákahe$ (amanhecer) {Schauer 2005}		meʔetákahe		meʔetákahe	m e ʔ e t á k a h e	Schauer 2005	1280	
4695	Baniwa	dawn (VI), see the dawn			amanhecer		<háale> (amanhecer) {Ramirez 2001}, <-haaléta> (amanhecer) {Ramirez 2001}, <pidzóome> (amanhecer) {Ramirez 2001}	háale			háale	h áa l e	Ramirez 2001	1276	
4696	Baniwa	dawn (VI), see the dawn			amanhecer		<háale> (amanhecer) {Ramirez 2001}, <-haaléta> (amanhecer) {Ramirez 2001}, <pidzóome> (amanhecer) {Ramirez 2001}	-haaléta			-haaléta	� h a a l e � t a	Ramirez 2001	1276	
4697	Baniwa	dawn (VI), see the dawn			amanhecer		<háale> (amanhecer) {Ramirez 2001}, <-haaléta> (amanhecer) {Ramirez 2001}, <pidzóome> (amanhecer) {Ramirez 2001}	pidzóome			pidzóome	p i dz ó o m e	Ramirez 2001	1285	
#
1173	Baré	day	dia	jour	dia	other	$yahaney$ (dia) {Oliveira 93}		yahaney		yahaney	y a h a n e y	Oliveira 93	1286	
1174	Kabiyari	day	dia	jour	dia	other	<wihékú> $wihékú$ (dia) {Epps}	wihékú	wihékú		wihékú	w i h é k ú	Epps	1287	
1175	Piapoco	day	dia	jour	dia	other	$èeri$ (dia) {H&R 1992}		èeri		èeri	è e r i	H&R 1992	1288	
1176	Resigaro	day	dia	jour	dia	other	$heeʔkó$ (dia) {Epps}		heeʔkó		heeʔkó	h ee ʔ k ó	Epps	1289	
1177	Tariana	day	dia	jour	dia	other	$ehkwápi$ $ehkwápi$ (dia) {Epps}, $hekwápi$ $hekwápi$ (dia) {Epps}		ehkwápi		ehkwápi	e h k w á p i	Epps	1290	
1178	Tariana	day	dia	jour	dia	other	$ehkwápi$ $ehkwápi$ (dia) {Epps}, $hekwápi$ $hekwápi$ (dia) {Epps}		hekwápi		hekwápi	h e k w á p i	Epps	1290	
1179	Warekena	day	dia	jour	dia	other	$amuʃi$ (dia) {Aikhenvald 2012}, $pe:puʃi$ (dia) {Aikhenvald 2012}		amuʃi		amuʃi	a m u ʃ i	Aikhenvald 2012	1291	
1180	Warekena	day	dia	jour	dia	other	$amuʃi$ (dia) {Aikhenvald 2012}, $pe:puʃi$ (dia) {Aikhenvald 2012}		pe:puʃi		pe:puʃi	p e: p u ʃ i	Aikhenvald 2012	1294	
1181	Yukuna	day	dia	jour	dia	other	$weʔetʃú$ (dia) {Epps}, $kaʔalá$ (dia) {Epps}		weʔetʃú		weʔetʃú	w e ʔ e tʃ ú	Epps	1287	
1182	Yukuna	day	dia	jour	dia	other	$weʔetʃú$ (dia) {Epps}, $kaʔalá$ (dia) {Epps}		kaʔalá		kaʔalá	k a ʔ a l á	Epps	1295	
#
1183	Tariana	deceive	engañar	tromper	enganar	verb.act	$di-mayána$ (enganar) {Aikhenvald 2001}		di-mayána		di-mayána	di- m a y á n a	Aikhenvald 2001	1297	
1184	Warekena	deceive	engañar	tromper	enganar	verb.act	$guwadzata$ (enganar) {Aikhenvald 2012}		guwadzata		guwadzata	g u w a dz a t a	Aikhenvald 2012	1298	
1185	Yukuna	deceive	engañar	tromper	enganar	verb.act	$pahlakahe$ (enganar) {Schaueɾ 2005}		pahlakahe		pahlakahe	p a h l a k a h e	Schaueɾ 2005	1299	
4698	Baniwa	deceive			enganar		<-mañéeta> (enganar) {Ramirez 2001}	-mañéeta			-mañéeta	� m a n � e � e t a	Ramirez 2001	1296	
#
1186	Piapoco	deep	hondo	profond	profundo, fundo	verb.stat	$depuíβaka$ (hondo) {Klumpp 1995}, $depuíβé:ɾi$ (hondo) {Klumpp 1995}		depuíβaka		depuíβaka	d e p u í β a k a	Klumpp 1995	1301	
1187	Piapoco	deep	hondo	profond	profundo, fundo	verb.stat	$depuíβaka$ (hondo) {Klumpp 1995}, $depuíβé:ɾi$ (hondo) {Klumpp 1995}		depuíβé:ɾi		depuíβé:ɾi	d e p u í β é: ɾ i	Klumpp 1995	1301	
1188	Resigaro	deep	hondo	profond	profundo, fundo	verb.stat	$khavakúʔ$ (mundo) {Allin 1979}		khavakúʔ		khavakúʔ	kh a v a k ú ʔ	Allin 1979	1300	
1189	Tariana	deep	hondo	profond	profundo, fundo	verb.stat	$di-wáyada$ (fundo) {Aikhenvald 2001}		di-wáyada		di-wáyada	di- w á y a d a	Aikhenvald 2001	1303	
1190	Yukuna	deep	hondo	profond	profundo, fundo	verb.stat	$hunipʰuni$ (fundo da água) {Schauer 2005}		hunipʰuni		hunipʰuni	h u n i pʰ u n i	Schauer 2005	1304	
4699	Baniwa	deep			profundo, fundo		<theewáka> (profundo, fundo) {Ramirez 2001}, <-iiwáaphi> (profundo, fundo) {Ramirez 2001}	theewáka			theewáka	th ee w á k a	Ramirez 2001	1300	
4700	Baniwa	deep			profundo, fundo		<theewáka> (profundo, fundo) {Ramirez 2001}, <-iiwáaphi> (profundo, fundo) {Ramirez 2001}	-iiwáaphi			-iiwáaphi	� i i w a � a p h i	Ramirez 2001	1305	
#
1191	Achagua	deer	venado	cerf	veado	animal	$neeri$ <néeri> (venado) {Melendez 2011}	néeri	neeri		neeri	n ee r i	Melendez 2011	1306	
1192	Baré	deer	venado	cerf	veado	animal	$marahayu$ (veado) {Oliveira 93}		marahayu		marahayu	m a r a h a y u	Oliveira 93	1308	
1193	Kabiyari	deer	venado	cerf	veado	animal	<néeri> $néeri$ (veado) {Epps}	néeri	néeri		néeri	n é e r i	Epps	1306	
1194	Piapoco	deer	venado	cerf	veado	animal	<néeri> $né:ɾi$ (veado) {Epps}	néeri	né:ɾi		né:ɾi	n é: ɾ i	Epps	1306	
1195	Resigaro	deer	venado	cerf	veado	animal	$keéʔʃé$ (veado) {Epps}		keéʔʃé		keéʔʃé	k e é ʔʃ é	Epps	1311	
1196	Tariana	deer	venado	cerf	veado	animal	$né:ɾi$ (veado) {Aikhenvald 2001}, $néɾi$ (veado) {Aikhenvald 2001}		né:ɾi		né:ɾi	n é: ɾ i	Aikhenvald 2001	1306	
1197	Tariana	deer	venado	cerf	veado	animal	$né:ɾi$ (veado) {Aikhenvald 2001}, $néɾi$ (veado) {Aikhenvald 2001}		néɾi		néɾi	n é ɾ i	Aikhenvald 2001	1306	
1198	Warekena	deer	venado	cerf	veado	animal	$maɾayu$ (veado) {Aikhenvald 2012}		maɾayu		maɾayu	m a ɾ a y u	Aikhenvald 2012	1308	
1199	Yukuna	deer	venado	cerf	veado	animal	$kawayá$ $kawahá$ (veado) {Epps}		kawahá		kawahá	k a w a h á	Epps	1314	
4701	Baniwa	deer			veado		<néeri> (veado) {Ramirez 2001}, <dóito> (veado) {Ramirez 2001}	néeri			néeri	n é e r i	Ramirez 2001	1306	
4702	Baniwa	deer			veado		<néeri> (veado) {Ramirez 2001}, <dóito> (veado) {Ramirez 2001}	dóito			dóito	d ó i t o	Ramirez 2001	1315	
#
1200	Achagua	defecate	defecar	déféquer	defecar	verb.act	$suteri$ <súteri> (cagar) {Melendez 2011}	súteri	suteri		suteri	s u t e r i	Melendez 2011	1316	
1201	Piapoco	defecate	defecar	déféquer	defecar	verb.act	$í:suaka$ (defecar) {Klumpp 1995}		í:suaka		í:suaka	í: s u a k a	Klumpp 1995	1318	
1202	Tariana	defecate	defecar	déféquer	defecar	verb.act	$dí-su$ (defecar) {Aikhenvald 2001}		dí-su		dí-su	d i � � s u	Aikhenvald 2001	1319	
1203	Yukuna	defecate	defecar	déféquer	defecar	verb.act	$ehoʔokahe$ (defecar) {Schauer 2005}, $ehoʔotákaho$ (defecar) {Schauer 2005}		ehoʔokahe		ehoʔokahe	e h o ʔ o k a h e	Schauer 2005	1320	
1204	Yukuna	defecate	defecar	déféquer	defecar	verb.act	$ehoʔokahe$ (defecar) {Schauer 2005}, $ehoʔotákaho$ (defecar) {Schauer 2005}		ehoʔotákaho		ehoʔotákaho	e h o ʔ o t á k a h o	Schauer 2005	1320	
4703	Baniwa	defecate			defecar		<-ítto> (defecar) {Ramirez 2001}	-ítto			-ítto	� i � t t o	Ramirez 2001	1317	
#
1205	Achagua	demon/evil spirit	espiritu malo, demonio	diable	demônio, espírito mau	other	$wawaʃi$ <wawaʃi> (espiritu maligno) {Melendez 2011}	wawaʃi	wawaʃi		wawaʃi	w a w a ʃ i	Melendez 2011	1321	
1206	Tariana	demon/evil spirit	espiritu malo, demonio	diable	demônio, espírito mau	other	$ñáki$ (espírito mal) {Aikhenvald 2001}		ñáki		ñáki	ñ á k i	Aikhenvald 2001	1323	
1207	Yukuna	demon/evil spirit	espiritu malo, demonio	diable	demônio, espírito mau	other	$hiɲá petʃu$ (demônio, espíɾito mal) {Schauer 2005}		hiɲá petʃu		hiɲá petʃu	h i ɲ a � � p e t � u	Schauer 2005	1324	
4704	Baniwa	demon/evil spirit			demônio, espírito mau		<íñaimi> (espírito) {Ramirez 2001}	íñaimi			íñaimi	í ñ a i m i	Ramirez 2001	1322	
#
1208	Achagua	die	morir	mourir	morrer, falecer	verb.stat	$ma:nali:$ <máanalii> (muerto) {Melendez 2011}	máanalii	ma:nali:		ma:nali:	m a: n a l i:	Melendez 2011	1325	
1209	Baré	die	morir	mourir	morrer, falecer	verb.stat	$dawika$ (morrer) {Oliveira 93}		dawika		dawika	d a w i k a	Oliveira 93	1327	
1210	Kabiyari	die	morir	mourir	morrer, falecer	verb.stat	<mikuu> $mikuu$ (morrer) {Epps}	mikuu	mikuu		mikuu	m i k uː	Epps	1328	
1211	Piapoco	die	morir	mourir	morrer, falecer	verb.stat	<étácawa> $étákawa$ (morrer) {Epps}, $jé:té:ɾimiβa$ (muerto) {Klumpp 1995}	étácawa	étákawa		étákawa	é t á k a w a	Epps	1329	
1212	Piapoco	die	morir	mourir	morrer, falecer	verb.stat	<étácawa> $étákawa$ (morrer) {Epps}, $jé:té:ɾimiβa$ (muerto) {Klumpp 1995}		jé:té:ɾimiβa		jé:té:ɾimiβa	j é: t é: ɾ i m i β a	Klumpp 1995	1334	
1213	Resigaro	die	morir	mourir	morrer, falecer	verb.stat	$kainée- ʒú$ (morrer) {Allin 1979}		kainée- ʒú		kainée- ʒú	k a i n e � e � � ʒ u �	Allin 1979	1330	
1214	Tariana	die	morir	mourir	morrer, falecer	verb.stat	$dí-pa$ (morrer) {Aikhenvald 2001}, $yãmi$ $jãmi$ (morrer) {Epps}, $ɲami$ $ɲami$ (morrer) {Epps}		dí-pa		dí-pa	d i � � p a	Aikhenvald 2001	1331	
1215	Tariana	die	morir	mourir	morrer, falecer	verb.stat	$dí-pa$ (morrer) {Aikhenvald 2001}, $yãmi$ $jãmi$ (morrer) {Epps}, $ɲami$ $ɲami$ (morrer) {Epps}		jãmi		jãmi	j ã m i	Epps	1335	
1216	Tariana	die	morir	mourir	morrer, falecer	verb.stat	$dí-pa$ (morrer) {Aikhenvald 2001}, $yãmi$ $jãmi$ (morrer) {Epps}, $ɲami$ $ɲami$ (morrer) {Epps}		ɲami		ɲami	ɲ a m i	Epps	1335	
1217	Warekena	die	morir	mourir	morrer, falecer	verb.stat	$wiyua$ (morrer) {Aikhenvald 2012}		wiyua		wiyua	w i y u a	Aikhenvald 2012	1332	
1218	Yukuna	die	morir	mourir	morrer, falecer	verb.stat	$takaʔakahe$ (morrer) {Epps}		takaʔakahe		takaʔakahe	t a k aʔakahe	Epps	1333	
4705	Baniwa	die			morrer, falecer		<malíome> (morrer) {Ramirez 2001}	malíome			malíome	m a l í o m e	Ramirez 2001	1326	
#
1219	Kabiyari	dig	cavar	creuser la terre	cavar	verb.act	<hika> $hika$ (cavar) {Epps}	hika	hika		hika	h i k a	Epps	1336	
1220	Piapoco	dig	cavar	creuser la terre	cavar	verb.act	<nui-caca> $nui-kaka$ (cavar) {Epps}	nui-caca	nui-kaka		nui-kaka	n u i � k a k a	Epps	1338	
1221	Resigaro	dig	cavar	creuser la terre	cavar	verb.act	$híʔʒo$ (cavar) {Epps}		híʔʒo		híʔʒo	h í ʔʒ o	Epps	1339	
1222	Tariana	dig	cavar	creuser la terre	cavar	verb.act	$dhéka$ (cavar) {Aikhenvald 2001}		dhéka		dhéka	dh é k a	Aikhenvald 2001	1336	
1223	Yukuna	dig	cavar	creuser la terre	cavar	verb.act	$itʃakahe$ (cavar) {Epps}, $hitʃakahe$ (cavar) {Epps}		itʃakahe		itʃakahe	i tʃ a k a h e	Epps	1341	
1224	Yukuna	dig	cavar	creuser la terre	cavar	verb.act	$itʃakahe$ (cavar) {Epps}, $hitʃakahe$ (cavar) {Epps}		hitʃakahe		hitʃakahe	h i tʃ a k a h e	Epps	1341	
4706	Baniwa	dig			cavar		<-hika> (cavar) {Ramirez 2001}	-hika			-hika	� h i k a	Ramirez 2001	1336	
#
1225	Achagua	dirty	sucio	saleté	sujo	verb.stat	$kasakulai$ <kasákulai> (sucio) {Melendez 2011}	kasákulai	kasakulai		kasakulai	k a s a k u l a i	Melendez 2011	1342	
1226	Baré	dirty	sucio	saleté	sujo	verb.stat	$kamutʃuni$ (sujo) {Oliveira 93}		kamutʃuni		kamutʃuni	k a m u tʃ u n i	Oliveira 93	1344	
1227	Kabiyari	dirty	sucio	saleté	sujo	verb.stat	<pit̪a> $pit̪a$ (sujo) {Epps}	pit̪a	pit̪a		pit̪a	p i t̪ a	Epps	1345	
1228	Piapoco	dirty	sucio	saleté	sujo	verb.stat	<casaquèeri> $kasakèeri$ (sujo) {Epps}	casaquèeri	kasakèeri		kasakèeri	k a s a k è e r i	Epps	1342	
1229	Resigaro	dirty	sucio	saleté	sujo	verb.stat	$tsoʔkóʔ$ (sujo) {Allin 1979}		tsoʔkóʔ		tsoʔkóʔ	ts o ʔ k ó ʔ	Allin 1979	1347	
1230	Tariana	dirty	sucio	saleté	sujo	verb.stat	$kapisíte$ (sujo) {Aikhenvald 2001}		kapisíte		kapisíte	k a p i s í t e	Aikhenvald 2001	1344	
1231	Warekena	dirty	sucio	saleté	sujo	verb.stat	$amuguɾiaɾi$ (sujo) {Aikhenvald 2012}, $anaguaduaɾi$ (estar sujo) {Aikhenvald 2012}, $uɾa$ (estar sujo) {Aikhenvald 2012}		amuguɾiaɾi		amuguɾiaɾi	a m u g u ɾ i a ɾ i	Aikhenvald 2012	1349	
1232	Warekena	dirty	sucio	saleté	sujo	verb.stat	$amuguɾiaɾi$ (sujo) {Aikhenvald 2012}, $anaguaduaɾi$ (estar sujo) {Aikhenvald 2012}, $uɾa$ (estar sujo) {Aikhenvald 2012}		anaguaduaɾi		anaguaduaɾi	a n a g u a d u a ɾ i	Aikhenvald 2012	1349	
1233	Warekena	dirty	sucio	saleté	sujo	verb.stat	$amuguɾiaɾi$ (sujo) {Aikhenvald 2012}, $anaguaduaɾi$ (estar sujo) {Aikhenvald 2012}, $uɾa$ (estar sujo) {Aikhenvald 2012}		uɾa		uɾa	u ɾ a	Aikhenvald 2012	1354	
1234	Yukuna	dirty	sucio	saleté	sujo	verb.stat	$kapihani$ (sujo) {Epps}		kapihani		kapihani	k a p i h a n i	Epps	1344	
4707	Baniwa	dirty			sujo		<dowhénaa> (sujo) {Ramirez 2001}, <-íittole> (sujo) {Ramirez 2001}, <kaapítta> (sujo) {Ramirez 2001}	dowhénaa			dowhénaa	d o wh é n aa	Ramirez 2001	1343	
4708	Baniwa	dirty			sujo		<dowhénaa> (sujo) {Ramirez 2001}, <-íittole> (sujo) {Ramirez 2001}, <kaapítta> (sujo) {Ramirez 2001}	-íittole			-íittole	� i � i t t o l e	Ramirez 2001	1351	
4709	Baniwa	dirty			sujo		<dowhénaa> (sujo) {Ramirez 2001}, <-íittole> (sujo) {Ramirez 2001}, <kaapítta> (sujo) {Ramirez 2001}	kaapítta			kaapítta	k aa p í tt a	Ramirez 2001	1345	
#
1235	Tariana	disappear	desaparecer	disparaître	desaparecer	verb.stat	$di-yále$ (desaparecer) {Aikhenvald 2001}, $di-ñále$ (desaparecer) {Aikhenvald 2001}		di-yále		di-yále	di- y á l e	Aikhenvald 2001	1356	
1236	Tariana	disappear	desaparecer	disparaître	desaparecer	verb.stat	$di-yále$ (desaparecer) {Aikhenvald 2001}, $di-ñále$ (desaparecer) {Aikhenvald 2001}		di-ñále		di-ñále	di- ñ á l e	Aikhenvald 2001	1356	
1237	Warekena	disappear	desaparecer	disparaître	desaparecer	verb.stat	$makuta$ (desaparecer) {Aikhenvald 2012}		makuta		makuta	m a k u t a	Aikhenvald 2012	1357	
1238	Yukuna	disappear	desaparecer	disparaître	desaparecer	verb.stat	$kapitʃákaho$ (desaparecer) {Schauer 2005}		kapitʃákaho		kapitʃákaho	k a p i tʃ á k a h o	Schauer 2005	1358	
4710	Baniwa	disappear			desaparecer		<-paña> (desaparacer) {Ramirez 2001}	-paña			-paña	� p a n � a	Ramirez 2001	1355	
#
1239	Baré	discard	botar	jeter	jogar	verb.act	$ʰnuka$ (jogar) {Oliveira 93}		ʰnuka		ʰnuka	ʰn u k a	Oliveira 93	1359	
1240	Resigaro	discard	botar	jeter	jogar	verb.act	$-kaʔpú$ (botar) {Allin 1979}		-kaʔpú		-kaʔpú	� k a ʔ p u �	Allin 1979	1360	
