EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
cut, make cuts on the surface of obj	retalear, cortar	couper	cortar	verb.act	$witʃueri$ <wítʃueri> (cortar) {Melendez 2011}	$-tákha:$ (cortar) {Ramirez 2001}, $-matáka$ (cortar) {Ramirez 2001}, $-a:ka:píta$ (cortar) {Ramirez 2001}	$yakara$ (cortar) {Oliveira 93}		<bacáidaca> $bakáidaka$ (cortar) {Epps}, <dalúaca> $dalúaka$ (cortar) {Epps}, <wichùaca> $witʃùaka$ (cortar) {Epps}, <íríaca> $íríaka$ (cortar) {Epps}, <màchawìaca> $màtʃawìaka$ (cortar) {Epps}	$tuu-khú$ (cortar coisas grandes) {Epps}, $ʔ-kʰú$ (cortar coisas pequenas) {Epps}	$di-písa$ (cortar) {Aikhenvald 2001}, $di-wísa$ (cortar, raspar cabelo) {Aikhenvald 2001}	$baʃaka$ (cortar) {Aikhenvald 2012}, $teɾuka$ (cortar) {Aikhenvald 2012}	$mataʔakahe$ (cortar) {Epps}
cut, of hard object, into many pieces of similar size	cortar, partir, trozar	couper morceaux	cortar, partir	verb.act	$kaaleri$ <kaaleri> (trozar) {Melendez 2011}	$-tákha:$ (cortar, partir) {Ramirez 2001}, $-matáka$ (cortar, partir) {Ramirez 2001}, $-a:ka:píta$ (cortar, partir) {Ramirez 2001}, $-keéta$ (cortar, partir) {Ramirez 2001}	$yakara$ (cortar) {Oliveira 93}		$nutukúaka$ (partir) {Klumpp 1995}	$tuu-khú$ (cortar coisas grandes) {Epps}, $ʔ-kʰú$ (cortar coisas pequenas) {Epps}	$di-kadúwa$ (partir) {Aikhenvald 2001}	$baʃaka$ (cortar) {Aikhenvald 2012}, $teɾuka$ (cortar) {Aikhenvald 2012}	$mataʔakahe$ (cortar) {Epps}
dance	bailar	danse	dançar	verb			$wayadawa$ (dançar) {Oliveira 93}		<iɺabà:ka> (dançar) {Klumpp 1995}		$ɾápa$ $ɾápa$ (dançar) {Epps}	$tama$ (dançar) {Aikhenvald 2012}	$aɾápaʔakahe$ (dançar) {Epps}
datura hallucinogen	toé	datura	estramônio	plant.medicinal									
daughter	hija	fille	filha	kinship	$kirakua$ <kírakua> (bebé, criatura) {Melendez 2011}	$-í:to$ (filha) {Ramirez 2001}			$nu-ídu$ (filha) {Klumpp 1995}	$aáme$ (filha) {Allin 1979}, $žaání$ (filha) {Allin 1979}	$dí:tu$ (filha) {Aikhenvald 2001}	$nutani neyawa$ (filha) {Aikhenvald 2012}	
daughter-in-law	nuera	belle-fille	nora	kinship	$niruʃi$ <niruʃi> (nuera) {Melendez 2011}	$-iɻí:no$ (nora) {Ramirez 2001}			$nuinìɾu$ (nuera) {Klumpp 1995}	$-iʔgíinó$ (nora) {Allin 1979}			$iʔiɾinuhi$ (nora) {Schauer 2005}
dawn (VI), see the dawn	amanecer	commencer à faire jour	amanhecer	temporal adv		$há:ɺe$ (amanhecer) {Ramirez 2001}, $-ha:ɺéta$ (amanhecer) {Ramirez 2001}, $pidzó:me$ (amanhecer) {Ramirez 2001}				$neé$ (ali) {Allin 1979}, $véethé$ (ali) {Allin 1979}	$haliá$ (amanhecer) {Aikhenvald 2001}, $hámu káwhika$ (amanhecer com sol) {Aikhenvald 2001}	$aɾita$ (amarrar) {Aikhenvald 2012}, $daɾuna$ (amarrar) {Aikhenvald 2012}, $mebutata$ (amarrar) {Aikhenvald 2012}	$meʔetákahe$ (amanhecer) {Schauer 2005}
day	dia	jour	dia	other			$yahaney$ (dia) {Oliveira 93}	<wihékú> $wihékú$ (dia) {Epps}	$èeri$ (dia) {H&R 1992}	$heeʔkó$ (dia) {Epps}	$ehkwápi$ $ehkwápi$ (dia) {Epps}, $hekwápi$ $hekwápi$ (dia) {Epps}	$amuʃi$ (dia) {Aikhenvald 2012}, $pe:puʃi$ (dia) {Aikhenvald 2012}	$weʔetʃú$ (dia) {Epps}, $kaʔalá$ (dia) {Epps}
deceive	engañar	tromper	enganar	verb.act		$-maɲé:ta$ (enganar) {Ramirez 2001}					$di-mayána$ (enganar) {Aikhenvald 2001}	$guwadzata$ (enganar) {Aikhenvald 2012}	$pahlakahe$ (enganar) {Schaueɾ 2005}
deep	hondo	profond	profundo, fundo	verb.stat		$the:wáka$ (profundo, fundo) {Ramirez 2001}, $-i:wá:phi$ (profundo, fundo) {Ramirez 2001}			$depuíβaka$ (hondo) {Klumpp 1995}, $depuíβé:ɾi$ (hondo) {Klumpp 1995}	$khavakúʔ$ (mundo) {Allin 1979}	$di-wáyada$ (fundo) {Aikhenvald 2001}		$hunipʰuni$ (fundo da água) {Schauer 2005}
deer	venado	cerf	veado	animal	$neeri$ <néeri> (venado) {Melendez 2011}	$né:ɻi$ (veado) {Ramirez 2001}, $dóito$ (veado) {Ramirez 2001}	$marahayu$ (veado) {Oliveira 93}	<néeri> $néeri$ (veado) {Epps}	<néeri> $né:ɾi$ (veado) {Epps}	$keéʔʃé$ (veado) {Epps}	$né:ɾi$ (veado) {Aikhenvald 2001}, $néɾi$ (veado) {Aikhenvald 2001}	$maɾayu$ (veado) {Aikhenvald 2012}	$kawayá$ $kawahá$ (veado) {Epps}
defecate	defecar	déféquer	defecar	verb.act	$suteri$ <súteri> (cagar) {Melendez 2011}	$-ít̺o$ (defecar) {Ramirez 2001}			$í:suaka$ (defecar) {Klumpp 1995}		$dí-su$ (defecar) {Aikhenvald 2001}		$ehoʔokahe$ (defecar) {Schauer 2005}, $ehoʔotákaho$ (defecar) {Schauer 2005}
demon/evil spirit	espiritu malo, demonio	diable	demônio, espírito mau	other	$wawaʃi$ <wawaʃi> (espiritu maligno) {Melendez 2011}	$íɲaimi$ (espírito) {Ramirez 2001}					$ñáki$ (espírito mal) {Aikhenvald 2001}		$hiɲá petʃu$ (demônio, espíɾito mal) {Schauer 2005}
die	morir	mourir	morrer, falecer	verb.stat	$ma:nali:$ <máanalii> (muerto) {Melendez 2011}	$maɺíome$ (morrer) {Ramirez 2001}	$dawika$ (morrer) {Oliveira 93}	<mikuu> $mikuu$ (morrer) {Epps}	<étácawa> $étákawa$ (morrer) {Epps}, $jé:té:ɾimiβa$ (muerto) {Klumpp 1995}	$kainée- ʒú$ (morrer) {Allin 1979}	$dí-pa$ (morrer) {Aikhenvald 2001}, $yãmi$ $jãmi$ (morrer) {Epps}, $ɲami$ $ɲami$ (morrer) {Epps}	$wiyua$ (morrer) {Aikhenvald 2012}	$takaʔakahe$ (morrer) {Epps}
dig	cavar	creuser la terre	cavar	verb.act		$-hika$ (cavar) {Ramirez 2001}		<hika> $hika$ (cavar) {Epps}	<nui-caca> $nui-kaka$ (cavar) {Epps}	$híʔʒo$ (cavar) {Epps}	$dhéka$ (cavar) {Aikhenvald 2001}		$itʃakahe$ (cavar) {Epps}, $hitʃakahe$ (cavar) {Epps}
dirty	sucio	saleté	sujo	verb.stat	$kasakulai$ <kasákulai> (sucio) {Melendez 2011}	$dowhéna:$ (sujo) {Ramirez 2001}, $-í:t̺oɺe$ (sujo) {Ramirez 2001}, $ka:pít̺a$ (sujo) {Ramirez 2001}	$kamutʃuni$ (sujo) {Oliveira 93}	<pit̪a> $pit̪a$ (sujo) {Epps}	<casaquèeri> $kasakèeri$ (sujo) {Epps}	$tsoʔkóʔ$ (sujo) {Allin 1979}	$kapisíte$ (sujo) {Aikhenvald 2001}	$amuguɾiaɾi$ (sujo) {Aikhenvald 2012}, $anaguaduaɾi$ (estar sujo) {Aikhenvald 2012}, $uɾa$ (estar sujo) {Aikhenvald 2012}	$kapihani$ (sujo) {Epps}
disappear	desaparecer	disparaître	desaparecer	verb.stat		$-paɲa$ (desaparecer) {Ramirez 2001}					$di-yále$ (desaparecer) {Aikhenvald 2001}, $di-ñále$ (desaparecer) {Aikhenvald 2001}	$makuta$ (desaparecer) {Aikhenvald 2012}	$kapitʃákaho$ (desaparecer) {Schauer 2005}
discard	botar	jeter	jogar	verb.act		$-kakóɺha$ (jogar) {Ramirez 2001}, $-peéko$ (jogar) {Ramirez 2001}	$ʰnuka$ (jogar) {Oliveira 93}			$-kaʔpú$ (botar) {Allin 1979}	$di-pé$ (jogar) {Aikhenvald 2001}	$ayaɾuta$ (jogar) {Aikhenvald 2012}	$kupakahe$ (jogaɾ, atirar) {Schauer 2005}
do	hacer	faire	fazer	verb.act	$mederi$ <méderi> (hacer) {Melendez 2011}	$-dze:káta$ (fazer) {Ramirez 2001}, $-dé:nhi$ (fazer) {Ramirez 2001}, $-ma$ (fazer) {Ramirez 2001}, $-ta$ (fazer) {Ramirez 2001}	$deka$ (fazer) {Oliveira 93}			$-khú$ (fazer) {Allin 1979}	$dí-ni$ (fazer) {Aikhenvald 2001}	$ma$ (fazer) {Aikhenvald 2012}	$laʔakahe$ (fazer) {Schauer 2005}
dog	perro	chien	cachorro	animal	$auli$ (cão) {Ramirez 2001}	$tsi:no$ (cão) {Ramirez 2001}	$tʃinu$ (cachorro) {Oliveira 93}	$t∫a:wi$ (cachorro) {H&R92}	<yàlidu> $jàlidu$ (cachorro) {Epps}, $áuli$ (cachorro) {H&R 1992}	$íiní$ (cachorro) {Epps}	$tʃínu$ $čínu$ (cachorro) {Epps}	$tʃunu$ (cachorro) {Aikhenvald 2012}	$walú$ (cachorro) {Epps}
dolphin	bufeo, delfín	dauphin	golfinho	fish			$kubati$ (peixe) {Oliveira 93}	$ámana$ <ámana> (boto) {Epps}	$múja$ (boto cor-de-rosa) {Rk 1983}	$hamaánú$ (golfinho) {Epps}	$amána$ (boto cor-de-rosa) {Aikhenvald 2001}		$hamanana$ (boto termo genérico) {Schauer 2005}
domesticated animal, pet	animal domesticado, mascota	animal domestique, animale familier	animal de estimação, mascote	animal	$ihira$ <íhira> (mascota) {Melendez 2011}	$-piɻa$ (animal de criação) {Ramirez 2001}			$pìɾái$ (animales domesticos) {Klumpp 1995}	$píidú$ (animal doméstico) {Allin 1979}			$piɾahi$ (animal doméstico) {Schauer 2005}
door	puerta	porte	porta	material culture	$náanibalaʃi$ <naanibalaʃi> (tapa o puerta de algo) {Melendez 2011}	$panit̺inóma$ (porta) {Ramirez 2001}	$bananuma$ (porta) {Oliveira 93}		$kapìi inùma$ (porta) {Epps}	$póʔkónoomú$ (porta) {Allin 1979}	$uwhéma$ (porta) {Aikhenvald 2001}	$waiʃi$ (porta) {Aikhenvald 2012}	$numanahi$ (porta) {Schauer 2005}
downriver	río abajo	en aval	rio abaixo	terrain	$kainakula$ <káinakula> (abajo) {Melendez 2011}	$pókoaɺhe$ (rio abaixo) {Ramirez 2001}			$bápiβalɺé$ (rio abajo) {Klumpp 1995}		$uniyeda$ (de rio abaixo) {Aikhenvald 2001}		
drink	beber, tomar	boire	beber, tomar	verb.act	$i:reri$ <íireri> (beber) {Melendez 2011}	$-í:ɻa$ (beber) {Ramirez 2001}	$-di$ (beber) {Oliveira 93}	<irá> $irá$ (beber) {Epps}	<ìraca> $ìɾaka$ (beber) {Epps}	$iʔdú$ (beber) {Epps}	$díɾa$ (beber) {Aikhenvald 2001}	$kuɾua$ (beber) {Aikhenvald 2012}	$iʔiɾakahe$ (beber) {Epps}
drip (VI)	gotear	goutter, ruisseler	gotejar, pingar	verb.int	$duidui$ <dúidui> (gotear) {Melendez 2011}	$-tsákha:$ (gotejar) {Ramirez 2001}, $patsa-patsáme$ (gotejar) {Ramirez 2001}, $-tóphia$ (gotejar) {Ramirez 2001}	$tʃupina$ (pingar) {Oliveira 93}		$idupíakaβa$ (gotear) {Klumpp 1995}, $nudupíadaka$ (gotear) {Klumpp 1995}	$-oʔkónó$ (gotear) {Allin 1979}	$dí-saka$ (gotejar, pingar) {Aikhenvald 2001}		$atʰupátakahe$ (gotear) {Schauer 2005}
drop	dejar caer	laisser tomber, faire tomber	deixar cair	verb	$kairiu$ <káiriu> (caerse) {Melendez 2011}				$nu-kaláidaka$ (dejar caer) {Klumpp 1995}, <nú:βà:kaβa> (caerse) {Klumpp 1995}		$di-ɾukuita$ (deixar cair) {Aikhenvald}, $di-phé$ (fazer cair) {Aikhenvald 2001}, $di-phé-ta$ (fazer cair) {Aikhenvald 2001}		$haʔakaho$ (cair-se) {Schauer 2005}
dry (VI)	secarse	sécher	secar-se, secar (vi)	verb.stat			$heruni$ (seco) {Oliveira 93}	<iwá> $iwá$ (seco) {Epps}	<chuìri> $tʃuìɾi$ (seco) {Epps}, $mì:sika$ (seco) {Klumpp 1995}, $imasikà:kaβa> (secarse) {Klumpp 1995}, $ìβakaβa$ (secarse) {Klumpp 1995}	$makádú$ (seco) {Epps}	$mákaɾa$ (seco) {Epps}	$ʃeʃe$ (seco) {Aikhenvald 2012}	$makahɾeni$ (seco) {Epps}
dry (VT)	secar	secher	secar	verb.act		$-me:t̺áta$ (secar) {Ramirez 2001}	$heruda$ (secar) {Oliveira 93}		$nutʃìdaka$ (secar) {Klumpp 1995}, $numakaɺà:ka$ (secar) {Klumpp 1995}		$di-makaɾéta$ (secar) {Aikhenvald 2001}	$ʃeʃeta$ (secar) {Aikhenvald 2012}	$makáɾaʔakahe$ (secar) {Schauer 2005}
dull	embotado, sin filo	emoussé		verb.stat		$máthi$ (cego) {Ramirez 2001}			$maserúníiri$ (embotado) {H&R 1992}	$nií tsóʔviiʔ tsú$ (embotado) {Allin 1979}		$mapuɾipaɾu$ (ser cego) {Aikhenvald 2012}	$mawe?eɾú$ (embotado) {H&ɾ 1992}
dust, fine dirt	polvo	poussière	pó, poeira	other	$pukupukui$ <pukúpukui> (polvo) {Melendez 2011}	$dá:phe$ (gotejar) {Ramirez 2001}, $haɺit̺ani$ (poeira) {Ramirez 2001}	$puera$ (poeira) {Oliveira 93}		<imuluísi> $imuluísi$ (poeira) {Epps}, < ísa> $ísa$ (poeira) {Epps}		$di-mhéni$ (poeira) {Aikhenvald 2001}		$muʔupé$ (poeira) {Epps}
ear	oreja	oreille	orelha	body part	$wibaʃi$ <wíbaʃi> (oreja) {Melendez 2011}	$-he:ni$ (orelha) {Ramirez 2001}, $-hináko-ɺiko$ (orelha) {Ramirez 2001}	$nu-datini$ (orelha) {Oliveira 93}	<u'uwi> $uʔuwi$ (orelha) {Epps}	<uwi> $uwi$ (orelha) {Epps}	$henákó$ (orelha) {Epps}	$di-whéni$ (orelha) {Aikhenvald 2001}	$nutanipaɾa$ (orelha) {Aikhenvald 2012}	$iʔihwihí$ (orelha) {Epps}
earth, dirt, mud	tierra	sol, terre, boue	terra, solo, chão	terrain	$kainabi$ <káinabi> (tierra) {Melendez 2011}	$hí:pai$ (terra, chão, país) {Ramirez 2001}	$kʰadi$ (terra) {Oliveira 93}	<ta'ka(a)ri> $taʔka(a)ri$ (terra) {Epps}	<cáli> $káli$ (terra) {Epps}	$hihi$ (terra) {Epps}	$helemé-wani$ (terra) {Aikhenvald 2001}, $hípai$ $hípai$ (terra) {Payne91}	$yatʃipe$ (chão) {Aikhenvald 2012}	$teʔeɾí$ (terra) {Epps}
earth, extension of land	tierra	terrain	terreno	terrain	$kainabi$ <káinabi> (tierra) {Melendez 2011}				$káɺi$ (terreno) {Klumpp 1995}				
eat	comer	manger	comer	verb.act	$i:jeri$ <íijeri> (comer) {Melendez 2011}	$-í:ɲha$ (comer) {Ramirez 2001}	$nika$ (comer) {Oliveira 93}	<tʃha> $tʃha$ (comer) {Epps}	<yáaca> $já:ka$ (comer) {Epps}	$aʔmitú$ (comer) {Epps}	$di-ñhá$ (comer) {Aikhenvald 2001}	$e$ (comer) {Aikhenvald 2012}	$ahɲakahe$ (comer) {Epps}
egg (animal)	huevo (animal)	œuf (animal)	ovo	other	$eewiʃi$ <éewiʃi> (huevo) {Melendez 2011}	$-é:whe$ (ovo) {Ramirez 2001}		<éewhé> $éewhé$ (ovo) {Epps}	<yéewési> $jé:wési$ (ovo) {Epps}	$eévé(ú)$ (ovo) {Epps}	$di-éwhe$ (ovo) {Aikhenvald 2001}	$inema$ (ovo) {Aikhenvald 2012}	$ehwehi$ (ovo) {Epps}
egg (chicken)	huevo (gallina)	œuf (poule)	ovo	other	$eewiʃi$ <éewiʃi> (huevo) {Melendez 2011}	$-é:whe$ (ovo) {Ramirez 2001}		<éewhé> $éewhé$ (ovo) {Epps}	$jéewé$ (ovo de galinha) {H&R 1992}	$eévé(ú)$ (ovo) {Epps}		$inema$ (ovo) {Aikhenvald 2012}	$kapérehwe$ (ovo de galinha) {Schauer 2005}
elbow	codo	coude	cotovelo	body part	$natueraʃi$ <natúeraʃi> (codo) {Melendez 2011}	$-nawátheɻe$ (cotovelo) {Ramirez}			$wà-ana íidakulé$ (cotovelo) {H&R 1992}	$-pidaádéú$ (cotovelo) {Allin 1979}	$di-kapiwathe$ (cotovelo) {Aikhenvald 2001}	$nukuwaɾutaɾe$ (cotovelo) {Aikhenvald 2012}, $nutuni$ (cotovelo) {Aikhenvald 2012}	$tahwáɲahi$ (cotovelo) {Schauer 2005}
embrace, hug	abrazar	embrasser	abraçar	verb.act	$ʃikideri$ <ʃíkideri> (abrazar) {Melendez 2011}	$-hí:dzoa$ (abraçar) {Ramirez 2001}			$nùana:ɺikuka$ (abraçar) {Klumpp 1995}, $nù:kutaidaka$ (abraçar) {Klumpp 1995}		$di-súwa$ (abraçar) {Aikhenvald 2001}	$tʃitʃyuta$ (abraçar) {Aikhenvald 2012}	$mawíloʔokahe$ (abrazar) {Schauer 2005}
emit noise, sound	sonar	faire du bruit, bruire	soar	verb.act	$sulinideriu$ <súlinideriu> (sonarse) {Melendez 2011}	$khéma$ (soar) {Ramirez 2001}				$-vaátsáhipóóʔ-ʒó$ (soar) (Allin 1979}	$píma$ (soar) {Aikhenvald 2001}		
enemy	enemigo	ennemi	inimigo	other								$punia$ (inimigo) {Aikhenvald 2012}	
enter	entrar	entrer	entrar	verb.act	$warueriu$ <wárueriu> (entrar) {Melendez 2011}	$-hé:wa$ (entrar (em uma casa, um buraco) {Ramirez 2001}	$bi-sia$ (entrar) {Oliveira 93}		$nuβà:ɺùakaβa$ (entrar) {Klumpp 1995}	$-hojáʔphaavú$ (entrar) {Allin 1979}	$dhé$ (entrar) {Aikhenvald 2001}, $di-hé$ (entrar) {Aikhenvald 2001}	$yapa$ (entrar) {Aikhenvald 2012}	$ipʰakahe$ (entrar) {Schauer 2005}
existential verb	haber	avoir, être	ter, haver, existir	verb.stat		$-ɺhio$ (possuir, ter) {Ramirez 2001}	$idi hati$ (haver) {Oliveira 93}		$áka$ (existir) {Klumpp 1995}				$kapi$ (conter, haver) {Schauer 2005}
exit	salir	sortir	partir, sair	verb.act	$hiairiu$ <híairiu> (salir) {Melendez 2011}	$-mót̺o$ (sair) {Ramirez 2001}	$bira$ (sair) {Oliveira 93}		$numusúakaβa$ (salir) {Klumpp 1995}	$dzee-ʒú$ (sair) {Allin 1979}, $hiiʃuvéʔi-ʒú$ (sair) {Allin 1979}	$di-músu$ (sair) {Aikhenvald 2001}	$bitʃika$ (sair) {Aikhenvald 2012}	$muhlúkaʔakahe$ (sair de uma entrada) {Schauer 2005}
expand, open, e.g of a flower or canoe, VI	reventar, abrirse	s'ouvre, s'épanouir	rebentar, abrir-se	verb.int	$ʃaderiu$ <ʃáderiu> (abrirse) {Melendez 2011}				$yàacùacawa$ (abrirse) {Klumpp 1995}				$eʔetʃakahe$ (abrir-se) {Schauer 2005}
eye	ojo	œil	olho	body part	$tuiʃi$ <túiʃi> (ojo) {Melendez 2011}	$-thi$ (olho) {Ramirez 2001}	$witi$ (olho) {Oliveira 93}	<thu> $thu$ (olho) {Epps}	<tuí> $tuí$ (olho) {Epps}	$ihluhí$ (olho) {Epps}	$di-thí$ (olho) {Aikhenvald 2001}	$nupuɾihi$ (olho) {Aikhenvald 2012}	$ihluhí$ (olho) {Epps}
face	cara	visage, figure	face, cara	body part	$naniʃi$ <nániʃi> (cara) {Melendez 2011}	$-kakóda$ (face) {Ramirez 2001}					$di-ékwa$ (cara) {Aikhenvald 2001}, $di-kakápua$ (cara) {Aikhenvald 2001}		$himahi$ (cara) {Schauer 2005}
fall	caer	tomber	cair	verb.int	$kairiu$ <káiriu> (caerse) {Melendez 2011}	$-híwa$ (cair) {Ramirez 2001}, $-wéɻa$ (cair) {Ramirez 2001}	$tʃakabu$ (cair) {Oliveira 93}	<huʔá> $huʔá$ (cair) {Epps}	<yúuwàacawa> $júuwàakawa$ (cair) {Epps}	$haʔvanú$ (cair) {Epps}, $áʔnú$ (cair) {Epps}	$di-whá$ (cair) {Aikhenvald 2001}	$yuɾua$ (cair) {Aikhenvald 2012}	$haʔakaho$ (cair) {Epps}
fan	abanico	ventilateur	abano	material culture					<nucàmúana> $nukàmúana$ (abano) {Epps}	$phoʔkhoótsí$ (ventilador) {Epps}	$ka-dui-si$ (abano) {Aikhenvald 2001}		$mahmaʔahohi$ (abanador) {Epps}
far	lejos	loin	longe, distante	other	$deeku$ <déeku> (lejos, distante) {Melendez 2011}	$jáka:$ (longe) {Ramirez 2001}	$kudehe$ (longe) {Oliveira 93}	<téeku> $téeku$ (longe) {Epps}	<déeculéeri> $déekuléeri$ (longe) {Epps}	$tseinóʔ$ (longe) {Epps}	$wyáka$ (longe) {Aikhenvald 2001}	$ya:me$ (longe) {Aikhenvald 2012}	$haʔahná$ (longe) {Epps}, $huká$ $huká$ (longe) {Epps}
farine	harina	farine	farinha	other		$matsóka$ (farinha) {Ramirez 2001}	$matʃuka$ (farinha) {Oliveira 93}		$maʧúka$ (farinha) {H&R 1992}	$peégi$ (farinha) {Epps}	$kawhi$ $kawhi$ (farinha) {Epps}	$matsuka$ (farinha) {Aikhenvald 2012}	$uʔuwí$ (farinha) {Schauer 2005}
fast	rápido	vite, rapide	rápido, ligeiro, depressa	verb.stat	$kaliku$ <káIiku> (rápido) {Melendez 2011}	$khé:dza$ (rápido, depressa) {Ramirez 2001}	$katei$ (rápido) {Oliveira 93}		$akuiaɺé:ɾi$ (rápido) {Klumpp 1995}		$kenaníte$ (rápido) {Aikhenvald 2001}, $kiyá-wani$ (rápido) {Aikhenvald 2001}	$kaɾebu$ (ser rápido) {Aikhenvald 2012}, $aɾebitawa$ (rápido) {Aikhenvald 2012}	
fat, grease	manteca	gras	goodura	other	$juuwika$ <júuwika> (grasa) {Melendez 2011}	$í:t̺i$ (gordura) {Ramirez 2001}	$witʃire$ (gordura) {Oliveira 93}	<íʔit̪i> $íʔit̪i$ (gordura) {Epps}	<iséená> $isé:ná$ (gordura) {Epps}	$phedeeʔkátasí$ (gordura) {Allin 1979}	$dí-si$ (gordura) {Aikhenvald 2001}	$ʃipa$ (gordura) {Aikhenvald 2012}	$hilahi$ (gordura) {Epps}
father	padre	père	pai	kinship		$-hániɻi$ (pai) {Ramirez 2001}, $pái$ (padre) {Ramirez 2001}	$yaka$ (pai) {Oliveira 93}		<[-án]iri> $[-án]iɾi$ (pai) {dp91}	$[-han]ígí$ (pai) {Epps}	$ha-níɾi$ (pai) {Aikhenvald 2001}	$nuɾuami$ (pai) {Aikhenvald 2012}	$haɾaʔapahi$ (pai) {Epps}
father	padre	père	padre (clero)	kinship	$salihinaaʃi$ <sálihinaaʃi> (padre) {Melendez 2011}	$pái$ (padre) {Ramirez 2001}					$paíne$ (padre) {Aikhenvald 2001}		$haɾaʔapahi$ (padre) {Schauer 2005}
father-in-law	suegro	beau-père	sogro	kinship	$ne:ruʃi$ <néeruʃi> (suegra) {Melendez 2011}	$-ɲháweɻi$ (sogro) {Ramirez 2001}			<nu-jé:ɾu$ (suegro) {Klumpp 1995}, $nu-jé:ɾu$ (suegra) {Klumpp 1995}	$ʃooʔgí$ (sogro) {Allin 1979}	$di-ñháwe-ɾi$ (sogro) {Aikhenvald 2001}	$matuimi enami$ (sogro) {Aikhenvald 2012}	$yanaʔahuhi$ (sogro) {Schauer 2005}
fear	tener miedo	avoir peur	temer	verb.stat	$ka:ru$ <káaru> (miedo) {Melendez 2011}	$-whio$ (temer) {Ramirez 2001}	$kiate$ (temer) {Oliveira 93}	<ka:lukeh> $ka:lukeh$ (medo) {Epps}	<cáalíri> $káalíri$ (temer) {Epps}, $ká:ɺuka$ (tener miedo) {Klumpp 1995}	$-íɸú$ (temer) {H&R 1992}	$kaɾu$ (ter medo) {Aikhenvald 2001}	$akune$ (estar com medo) {Aikhenvald 2012}	$keɾoʔokaho$ (temer) {Epps}
feces	heces	matières fécales, fèces	fezes	other	$i:jaʃi$ <íijaʃi> (feces) {Melendez 2011}					$iiʔʃú$ (fezes) {Epps}	$íha$ (fezes) {Aikhenvald 2001}		$iʔihɲehí$ (fezes) {Epps}
feed, offer food (trans)	alimentar, dar de comer	nourrir, alimenter, donner à manger à quelqu'un	alimentar, apascentar	verb.act		$-kaɲháwa$ (alimentar) {Ramirez 2001}			$nùaka ijá:$ (alimentar) {Klumpp 1995}	$-otshó$ (dar de comer) {Allin 1979}, $-ʃotú$ (dar de comer carne) {Allin 1979}	$di-a di-ñha$ (dar de comer) {Aikhenvald 2001}		$aʔakahe$ (dar) {Schauer 2005}
feel hot, of person	tener calor	avoir chaud	estar com calor, estar quente	verb.stat	$amuabe:$ <amuábee> (calor) {Melendez 2011}	$hámoka -ɺhio$ (estar com caɺor) {Ramirez 2001}	$takʰani$ (quente) {Oliveira 93}	<muʔú> $muʔú$ (quente) {Epps}		$haʔmooʔ$ (ter calor) {Allin 1979}	$hamú-peɾi$ (quente) {Aikhenvald 2001}		$imaʔaní$ (estar com calor) {Schauer 2005}
ferment (VI)	fermentar	fermenter	fermentar	verb.int	$kaiwideri$ <káiwideri> (fermentar) {Melendez 2011}					$kaʔma-$ (fermentar) {Allin 1979}	$di-míña$ (fermentar) {Aikhenvald 2001}		$amúɾaʔatakahe$ (fermentar) {Schauer 2005}
few	poco(s)	peu	pouco	other	$aulaba$ <áulaba> (poco) {Melendez 2011}	$tsó:tsa$ (pouco) {Ramirez 2001}, $menakóda$ (pouco) {Ramirez 2001}, $tíki$ (pouco) {Ramirez 2001}	$aweheti$ (pouco) {Oliveira 93}		$máisibata$ (pouco) {H&R 1992}	$ooʒaʒaʔ$ (pouco) {Allin 1979}		$tsui$ (pouco) {Aikhenvald 2012}, $aɾetʃi$ (um pouco) {Aikhenvald 2012}	$wehapa$ (pouco) {Schauer 2005}
fight	pelear	se battre	lutar	verb.act						$-khákakávú$ (lutar) {Allin 1979}			$nókakaho$ (lutar um com o outro) {Schauer 2005}
fill.VT	llenar	remplir	encher	verb.act		$-ke:t̺adáta$ (encher) {Ramirez 2001}, $-pakhaméta$ (encher) {Ramirez 2001}	$kawi$ (encher) {Oliveira 93}		$nupuníadaka$ (llenar) {Klumpp 1995}				$manoʔokahe$ (encheɾ) {Schauer 2005}
find object	encontrar, hallar	trouver	encontrar	verb.act	$huntair$ <húntairi> (encontrar) {Melendez 2011}	$-ooké:ta$ (encontrar) {Ramirez 2001}			$nùanà:ka$ (encontrar) {Klumpp 1995}	$guu-ʒú$ (encontrar) {Allin 1979}	$di-ké$ (encontrar) {Aikhenvald 2001}, $di-ké-ta$ (encontrar) {Aikhenvald 2001}		$ipʰátakahe$ (encontrar) {Schauer 2005}
find, meet person	reunir, encontrar, hallar, topar	rencontrer	encontrar-se	verb.act		$-ooké:ta$ (encontrar) {Ramirez 2001}			$nuipunitáidaka$ (encontrarse con alguien) {Klumpp 1995}				$hawakátakahe$ (reunir) {Schauer 2005}
finger	dedo	doigt	dedo	body part	$kahiʃi$ <káhiʃi> (dedo) {Melendez 2011}	$-ka:piwína$ (dedo) {Ramirez 2001}					$di-kapí-da$ (dedo) {Aikhenvald 2001}	$napidu$ (dedo) {Aikhenvald 2012}	$yatewánahi$ (dedo) {Schauer 2005}
